Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Scenarios,Chrome 127.0.0.0,,,12-08-2024 23:46:30,12-08-2024 23:48:04,1m - 33.753s,PASSED
,,,,,,,
Test Cases/Login/L001_Register User,Chrome 127.0.0.0,Register User for the application,,12-08-2024 23:46:30,12-08-2024 23:47:14,43.306s,PASSED
file = new java.io.FileInputStream(new java.io.File((java.lang.System.getProperty(user.dir) + \Data Files\dataFile.xlsx))),Chrome 127.0.0.0,,,12-08-2024 23:46:31,12-08-2024 23:46:31,0.031s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(file),Chrome 127.0.0.0,,,12-08-2024 23:46:31,12-08-2024 23:46:31,0.662s,PASSED
sheet = workbook.getSheetAt(0),Chrome 127.0.0.0,,,12-08-2024 23:46:31,12-08-2024 23:46:31,0.008s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,Launch browser,,12-08-2024 23:46:31,12-08-2024 23:46:34,3.038s,PASSED
"navigateToUrl(""http://automationexercise.com/"")",Chrome 127.0.0.0,Navigate to url http://automationexercise.com,,12-08-2024 23:46:34,12-08-2024 23:46:38,3.933s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Login/Menu_Home""), Long_Timeout)",Chrome 127.0.0.0,Verify that home page is visible successfully,,12-08-2024 23:46:38,12-08-2024 23:46:40,1.470s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Login/Menu_Home""), ""style"", ""color: orange;"", Short_Timeout)",Chrome 127.0.0.0,,,12-08-2024 23:46:40,12-08-2024 23:46:40,0.418s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Login/img_Home""), OPTIONAL)",Chrome 127.0.0.0,,,12-08-2024 23:46:40,12-08-2024 23:46:41,0.431s,PASSED
"click(findTestObject(""Object Repository/Login/btn_Signup-Login""))",Chrome 127.0.0.0,"Click on ""Signup / Login"" button",,12-08-2024 23:46:41,12-08-2024 23:46:43,2.385s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login/Verify_NewUserSignup""), ""New User Signup!"")",Chrome 127.0.0.0,"Verify ""New User Signup!"" is visible",,12-08-2024 23:46:43,12-08-2024 23:46:44,1.207s,PASSED
"setText(findTestObject(""Object Repository/Login/txt_Name""), ""KBC Automation"")",Chrome 127.0.0.0,"Enter ""Name""",,12-08-2024 23:46:44,12-08-2024 23:46:45,0.890s,PASSED
random = Math.random() * 1000,Chrome 127.0.0.0,"Enter ""Email"" Address",,12-08-2024 23:46:45,12-08-2024 23:46:45,0.086s,PASSED
myDateObj = LocalDateTime.now(),Chrome 127.0.0.0,,,12-08-2024 23:46:45,12-08-2024 23:46:45,0.033s,PASSED
"out.println(""Before formatting: "" + myDateObj)",Chrome 127.0.0.0,,,12-08-2024 23:46:45,12-08-2024 23:46:45,0.029s,PASSED
"myFormatObj = DateTimeFormatter.ofPattern(""ddMMyyyy"")",Chrome 127.0.0.0,,,12-08-2024 23:46:45,12-08-2024 23:46:45,0.016s,PASSED
formattedDate = myDateObj.format(myFormatObj),Chrome 127.0.0.0,,,12-08-2024 23:46:45,12-08-2024 23:46:45,0.013s,PASSED
"setText(findTestObject(""Object Repository/Login/txt_Email""), ""Test"" + formattedDate + ""@"" + random + "".com"")",Chrome 127.0.0.0,,,12-08-2024 23:46:45,12-08-2024 23:46:46,0.967s,PASSED
"createCell(0).setCellValue(""Test"" + formattedDate + ""@"" + random + "".com"")",Chrome 127.0.0.0,Write data to excel for email,,12-08-2024 23:46:46,12-08-2024 23:46:46,0.090s,PASSED
"click(findTestObject(""Object Repository/Login/btn_SignUp""))",Chrome 127.0.0.0,"Click ""Signup"" button",,12-08-2024 23:46:46,12-08-2024 23:46:49,2.879s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Login/txt_Name""), ""value"", ""KBC Automation"", Short_Timeout)",Chrome 127.0.0.0,"Verify that ""ENTER ACCOUNT INFORMATION"" is visible",,12-08-2024 23:46:49,12-08-2024 23:46:50,1.080s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Account Info/verify_Email""), ""value"", ""Test"" + formattedDate + ""@"" + random + "".com"", Short_Timeout)",Chrome 127.0.0.0,,,12-08-2024 23:46:50,12-08-2024 23:46:51,0.360s,PASSED
"check(findTestObject(""Object Repository/Account Info/radiobtn_Title""))",Chrome 127.0.0.0,"Select the ""Title""",,12-08-2024 23:46:51,12-08-2024 23:46:51,0.460s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Password""), ""Test"" + formattedDate + ""@"" + random)",Chrome 127.0.0.0,"Set the ""Password"" for our logged in user",,12-08-2024 23:46:51,12-08-2024 23:46:52,0.991s,PASSED
"createCell(1).setCellValue(""Test"" + formattedDate + ""@"" + random)",Chrome 127.0.0.0,Write data to excel for email,,12-08-2024 23:46:52,12-08-2024 23:46:52,0.008s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Account Info/drp_days""), ""21"", false)",Chrome 127.0.0.0,Set The Date of Birth,,12-08-2024 23:46:52,12-08-2024 23:46:53,0.798s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Account Info/drp_Month""), Short_Timeout)",Chrome 127.0.0.0,,,12-08-2024 23:46:53,12-08-2024 23:46:53,0.334s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Account Info/drp_Month""), ""3"", false)",Chrome 127.0.0.0,,,12-08-2024 23:46:53,12-08-2024 23:46:54,0.755s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Account Info/drp_Year""), ""2002"", false)",Chrome 127.0.0.0,,,12-08-2024 23:46:54,12-08-2024 23:46:55,0.720s,PASSED
"scrollToElement(findTestObject(""Object Repository/Account Info/checkbox_signUpNews""), Short_Timeout)",Chrome 127.0.0.0,"Select checkbox ""Sign up for our newsletter!""",,12-08-2024 23:46:55,12-08-2024 23:46:55,0.362s,PASSED
"click(findTestObject(""Object Repository/Account Info/checkbox_signUpNews""))",Chrome 127.0.0.0,,,12-08-2024 23:46:55,12-08-2024 23:46:55,0.421s,PASSED
"click(findTestObject(""Object Repository/Account Info/checkbox_option""))",Chrome 127.0.0.0,"Select checkbox ""Receive special offers from our partners!""",,12-08-2024 23:46:55,12-08-2024 23:46:56,0.414s,PASSED
"scrollToElement(findTestObject(""Object Repository/Account Info/txt_first_name""), Short_Timeout)",Chrome 127.0.0.0,"Enter ""First name""",,12-08-2024 23:46:56,12-08-2024 23:46:56,0.322s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_first_name""), ""KBC"")",Chrome 127.0.0.0,,,12-08-2024 23:46:56,12-08-2024 23:46:57,0.862s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_last_name""), ""Automation"")",Chrome 127.0.0.0,"Enter ""Last name""",,12-08-2024 23:46:57,12-08-2024 23:46:58,0.848s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Company""), ""Automation"")",Chrome 127.0.0.0,"Enter ""Company""",,12-08-2024 23:46:58,12-08-2024 23:46:59,0.840s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Address""), ""Test near test"")",Chrome 127.0.0.0,"Enter ""Address""",,12-08-2024 23:46:59,12-08-2024 23:47:00,0.952s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_Address2""), ""Address 2"")",Chrome 127.0.0.0,"Enter ""Address 2""",,12-08-2024 23:47:00,12-08-2024 23:47:01,0.862s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/Account Info/drp_Country""), ""Australia"", false)",Chrome 127.0.0.0,"Select ""Country""",,12-08-2024 23:47:01,12-08-2024 23:47:01,0.709s,PASSED
"scrollToElement(findTestObject(""Object Repository/Account Info/txt_State""), Short_Timeout)",Chrome 127.0.0.0,"Enter ""State""",,12-08-2024 23:47:01,12-08-2024 23:47:02,0.341s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_State""), ""ACT"")",Chrome 127.0.0.0,,,12-08-2024 23:47:02,12-08-2024 23:47:02,0.880s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_City""), ""Melbourne"")",Chrome 127.0.0.0,"Enter ""City""",,12-08-2024 23:47:02,12-08-2024 23:47:03,0.880s,PASSED
"setText(findTestObject(""Object Repository/Account Info/txt_zipcode""), ""2900"")",Chrome 127.0.0.0,"Enter ""ZipCode""",,12-08-2024 23:47:03,12-08-2024 23:47:04,0.862s,PASSED
"setText(findTestObject(""Object Repository/Account Info/num_Mobile""), ""1236123612"")",Chrome 127.0.0.0,"Enter ""ZipCode""",,12-08-2024 23:47:04,12-08-2024 23:47:05,0.950s,PASSED
"scrollToElement(findTestObject(""Object Repository/Account Info/btn_CreateAcc""), Short_Timeout)",Chrome 127.0.0.0,"Click ""Create Account button""",,12-08-2024 23:47:05,12-08-2024 23:47:05,0.306s,PASSED
"click(findTestObject(""Object Repository/Account Info/btn_CreateAcc""))",Chrome 127.0.0.0,,,12-08-2024 23:47:05,12-08-2024 23:47:09,3.247s,PASSED
"verifyElementText(findTestObject(""Object Repository/Account Info/verify_AccountCreated""), ""ACCOUNT CREATED!"")",Chrome 127.0.0.0,"Verify that ""ACCOUNT CREATED!"" is visible",,12-08-2024 23:47:09,12-08-2024 23:47:09,0.597s,PASSED
"click(findTestObject(""Object Repository/Account Info/btn_Continue""))",Chrome 127.0.0.0,"Click ""Continue"" button",,12-08-2024 23:47:09,12-08-2024 23:47:12,3.056s,PASSED
"verifyElementText(findTestObject(""Object Repository/Account Info/verify_loggedinUser""), ""KBC Automation"")",Chrome 127.0.0.0,"Verify that ""Logged in as username"" is visible",,12-08-2024 23:47:12,12-08-2024 23:47:13,0.660s,PASSED
file.close(),Chrome 127.0.0.0,,,12-08-2024 23:47:13,12-08-2024 23:47:13,0.010s,PASSED
outFile = new java.io.FileOutputStream(new java.io.File((java.lang.System.getProperty(user.dir) + \Data Files\dataFile.xlsx))),Chrome 127.0.0.0,,,12-08-2024 23:47:13,12-08-2024 23:47:13,0.020s,PASSED
workbook.write(outFile),Chrome 127.0.0.0,,,12-08-2024 23:47:13,12-08-2024 23:47:13,0.209s,PASSED
outFile.close(),Chrome 127.0.0.0,,,12-08-2024 23:47:13,12-08-2024 23:47:13,0.000s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,12-08-2024 23:47:13,12-08-2024 23:47:14,0.266s,PASSED
,,,,,,,
Test Cases/Login/L004_Logout,Chrome 127.0.0.0,,,12-08-2024 23:47:14,12-08-2024 23:48:04,50.137s,PASSED
"callTestCase(findTestCase(""Login/L002_Login User with correct email and password""), [""userEmail"":userEmail, ""password"":password], STOP_ON_FAILURE)",Chrome 127.0.0.0,,,12-08-2024 23:47:14,12-08-2024 23:48:04,50.011s,PASSED
